trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2278,False,"{'a': 0.002, 'e': 0.01052501999134809}",25,7,30.258681028946818,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2279,False,"{'a': 0.002, 'e': 0.010503990987379034}",25,0,37.30976994673469,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2280,False,"{'a': 0.002, 'e': 0.010483003999387931}",20,16,5.88236367859461,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2281,False,"{'a': 0.002, 'e': 0.010462058943426795}",20,12,13.793473741075267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2282,False,"{'a': 0.002, 'e': 0.01044115573571539}",20,0,33.89193161894488,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2283,False,"{'a': 0.002, 'e': 0.01042029429264085}",20,0,30.841275459528262,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2284,False,"{'a': 0.002, 'e': 0.010399474530757374}",30,16,29.55782046446649,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2285,False,"{'a': 0.002, 'e': 0.010378696366785877}",20,0,32.828060937249674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2286,False,"{'a': 0.002, 'e': 0.010357959717613696}",20,10,15.260355544983288,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2287,False,"{'a': 0.002, 'e': 0.010337264500294195}",25,20,9.067880609939017,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2288,False,"{'a': 0.002, 'e': 0.01031661063204648}",25,0,34.40151850026701,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2289,False,"{'a': 0.002, 'e': 0.010295998030255039}",30,13,32.664024859937996,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2290,False,"{'a': 0.002, 'e': 0.010275426612469454}",20,12,12.988230161043377,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2291,False,"{'a': 0.002, 'e': 0.010254896296404022}",25,14,19.447715422433294,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2292,False,"{'a': 0.002, 'e': 0.010234406999937449}",20,3,27.93316943888162,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2293,False,"{'a': 0.002, 'e': 0.01021395864111251}",30,8,33.39878389877616,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2294,False,"{'a': 0.002, 'e': 0.010193551138135765}",20,10,18.47082230035439,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2295,False,"{'a': 0.002, 'e': 0.010173184409377162}",20,6,24.407535240799756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2296,False,"{'a': 0.002, 'e': 0.010152858373369763}",25,12,23.349486583380642,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2297,False,"{'a': 0.002, 'e': 0.010132572948809385}",20,16,6.950720773121738,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2298,False,"{'a': 0.002, 'e': 0.010112328054554321}",25,18,13.136946107056392,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
